,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
352,Hefei,20,CN,1593866962,83,31.86,117.28,26.0,2.0
353,Moses Lake,40,US,1593866962,33,47.13,-119.28,17.0,3.6
354,Safi,0,MA,1593866704,63,32.3,-9.24,23.92,9.79
355,Saint Anthony,1,US,1593866964,88,45.02,-93.22,24.44,1.21
356,Ubalá,100,CO,1593866965,94,4.75,-72.54,22.6,2.41
357,São Miguel do Araguaia,0,BR,1593866965,41,-13.28,-50.16,27.95,2.09
358,Linxia Chengguanzhen,100,CN,1593866729,45,35.6,103.21,18.53,2.18
359,Tsaratanana,100,MG,1593866966,50,-16.78,47.65,25.39,5.33
360,Guangzhou,75,CN,1593866820,79,23.12,113.25,32.78,1.0
361,Kamaishi,94,JP,1593866967,89,39.27,141.88,17.35,1.0
362,Brodokalmak,40,RU,1593866967,36,55.57,62.08,26.0,4.0
363,Toora-Khem,100,RU,1593866967,57,52.47,96.11,21.15,2.35
364,Pangnirtung,0,CA,1593866714,52,66.15,-65.71,10.93,2.11
365,Chicama,83,PE,1593866968,74,-7.84,-79.15,18.17,2.17
366,Agüimes,20,ES,1593866969,57,27.91,-15.45,25.0,14.9
367,Sitka,90,US,1593866969,93,57.05,-135.33,12.0,2.6
368,Vila Franca do Campo,75,PT,1593866970,83,37.72,-25.43,21.0,3.1
369,Atar,0,MR,1593866705,24,20.52,-13.05,40.0,4.14
370,Makkah al Mukarramah,0,SA,1593866694,9,21.43,39.83,42.53,12.87
